dataset,shots,noise_type,noise_p,meas_seed,r2,mse
lorenz,2048,amplitude_damp,0.02,33,0.2381442171045346,0.8051569248175446
lorenz,2048,amplitude_damp,0.02,44,0.24084794528333597,0.8022995264557278
lorenz,2048,amplitude_damp,0.02,55,0.24172991644360275,0.8013674272276043
lorenz,2048,amplitude_damp,0.02,66,0.2414459068241649,0.8016675789320858
lorenz,2048,amplitude_damp,0.02,77,0.23706099583819717,0.8063017124837699
lorenz,2048,amplitude_damp,0.03,11,0.058294826556636425,0.995228307715644
lorenz,2048,amplitude_damp,0.03,22,0.046063990552223766,1.0081543004380906
lorenz,2048,amplitude_damp,0.03,33,0.050027688712990126,1.0039653199332783
lorenz,2048,amplitude_damp,0.03,44,0.06117091931177454,0.9921887481950532
lorenz,2048,amplitude_damp,0.03,55,0.05448531317489125,0.9992543401332755
lorenz,2048,amplitude_damp,0.03,66,0.058524359086070565,0.9949857293829806
lorenz,2048,amplitude_damp,0.03,77,0.05109799067187526,1.0028341858614636
lorenz,2048,amplitude_damp,0.05,11,-0.24093143283796148,1.3114615112271657
lorenz,2048,amplitude_damp,0.05,22,-0.251018337627511,1.3221217193972932
lorenz,2048,amplitude_damp,0.05,33,-0.24725262533394377,1.318141977564117
lorenz,2048,amplitude_damp,0.05,44,-0.23600422571606172,1.3062542593780944
lorenz,2048,amplitude_damp,0.05,55,-0.24540175940563058,1.3161859150749324
lorenz,2048,amplitude_damp,0.05,66,-0.23715105115083768,1.3074662662448764
lorenz,2048,amplitude_damp,0.05,77,-0.2450636321688362,1.315828569902412
lorenz,2048,amplitude_damp,0.08,11,-0.6257811725352231,1.7181847256311131
lorenz,2048,amplitude_damp,0.08,22,-0.6277365482046198,1.7202512378190904
lorenz,2048,amplitude_damp,0.08,33,-0.6303243673360683,1.722986139280286
lorenz,2048,amplitude_damp,0.08,44,-0.6285177467273375,1.7210768368554763
lorenz,2048,amplitude_damp,0.08,55,-0.6291061518859102,1.7216986848464735
lorenz,2048,amplitude_damp,0.08,66,-0.6203364053125766,1.7124304974270925
lorenz,2048,amplitude_damp,0.08,77,-0.6335296648588136,1.72637361438316
lorenz,2048,amplitude_damp,0.1,11,-0.8556878854004026,1.9611585089656913
lorenz,2048,amplitude_damp,0.1,22,-0.8569188403961854,1.962459427015071
lorenz,2048,amplitude_damp,0.1,33,-0.8675359779021554,1.9736800044217073
lorenz,2048,amplitude_damp,0.1,44,-0.8567331871460382,1.9622632219020737
lorenz,2048,amplitude_damp,0.1,55,-0.8602070782136211,1.9659345564406079
lorenz,2048,amplitude_damp,0.1,66,-0.8565818117860649,1.9621032429112126
lorenz,2048,amplitude_damp,0.1,77,-0.8615727405040294,1.9673778380626301
