dataset,shots,noise_type,noise_p,meas_seed,r2,mse
lorenz,2048,depolarizing,0.01,55,0.30112933308920775,0.738591961429383
lorenz,2048,depolarizing,0.01,66,0.3062662245552863,0.7331631075323499
lorenz,2048,depolarizing,0.01,77,0.2965110204385043,0.7434727623567635
lorenz,2048,depolarizing,0.015,11,0.18296918530522654,0.8634679069320383
lorenz,2048,depolarizing,0.015,22,0.18384180686143892,0.8625456887058287
lorenz,2048,depolarizing,0.015,33,0.18313609926994934,0.8632915061780341
lorenz,2048,depolarizing,0.015,44,0.18641607895872536,0.8598251042434815
lorenz,2048,depolarizing,0.015,55,0.18117759343849327,0.8653613264352215
lorenz,2048,depolarizing,0.015,66,0.18748787260966782,0.8586923936971992
lorenz,2048,depolarizing,0.015,77,0.1778870987838772,0.8688388409684448
lorenz,2048,depolarizing,0.02,11,0.11003962794903377,0.940542517964129
lorenz,2048,depolarizing,0.02,22,0.11104431835286588,0.9394807245721188
lorenz,2048,depolarizing,0.02,33,0.10935263403689088,0.9412685581387762
lorenz,2048,depolarizing,0.02,44,0.11283106660412778,0.9375924239780856
lorenz,2048,depolarizing,0.02,55,0.10711407948943796,0.9436343440735019
lorenz,2048,depolarizing,0.02,66,0.11166363248442657,0.9388262108533041
lorenz,2048,depolarizing,0.02,77,0.1024128096755832,0.9486028171507486
lorenz,2048,depolarizing,0.03,11,0.03189718403703701,1.0231262972704858
lorenz,2048,depolarizing,0.03,22,0.03544716922244129,1.019374543698222
lorenz,2048,depolarizing,0.03,33,0.03449984899468861,1.0203757061997336
lorenz,2048,depolarizing,0.03,44,0.03377959698439281,1.0211368947431867
lorenz,2048,depolarizing,0.03,55,0.03044571109454408,1.0246602667133533
lorenz,2048,depolarizing,0.03,66,0.03534962611157311,1.0194776308086004
lorenz,2048,depolarizing,0.03,77,0.02631150448343922,1.0290294467554169
lorenz,2048,depolarizing,0.05,11,-0.012591362888678903,1.0701434131558232
lorenz,2048,depolarizing,0.05,22,-0.010043663381333223,1.067450911573834
lorenz,2048,depolarizing,0.05,33,-0.009322877372529348,1.0666891586813187
lorenz,2048,depolarizing,0.05,44,-0.0110479633210665,1.0685122923091706
lorenz,2048,depolarizing,0.05,55,-0.015658003043211632,1.0733843501044955
