dataset,shots,noise_type,noise_p,n_runs,r2_mean,r2_std,r2_lo,r2_hi,r2_lo95,r2_hi95,mse_mean,mse_std,mse_lo,mse_hi
lorenz,2048,bit_flip,0.005,7,0.46472044262833645,0.002592207402749909,0.4624859757371014,0.46699572521800403,0.4624808202642401,0.4687849295004428,0.5657029217433933,0.002739539146050893,0.5632983202766627,0.5680643876942271
lorenz,2048,bit_flip,0.008,7,0.3429556787681184,0.0037668336859227537,0.3405071532651471,0.34736610973601134,0.3376196408276728,0.3476990109843896,0.6943883567324453,0.003980926961438913,0.6897272527348713,0.6969760476164301
lorenz,2048,bit_flip,0.01,7,0.27767564007979506,0.0039033203598529244,0.2751061311705393,0.28268935738326123,0.27340563297468423,0.28326442890366044,0.7633786779747433,0.0041251710469041684,0.7580799990166063,0.7660942285265878
lorenz,2048,bit_flip,0.015,7,0.16135699525066619,0.004246993766621565,0.15728442074514362,0.16504096792642672,0.15474076699864275,0.16628182179089362,0.8863084561194031,0.004488377613747828,0.8824150996898513,0.8906125011087247
lorenz,2048,bit_flip,0.02,7,0.09050178839527252,0.0033543226810168526,0.08820846879232434,0.09304766150007018,0.08488535216937135,0.09434353873151186,0.9611908180307092,0.003544970315023324,0.9585002466574185,0.9636144816696671
lorenz,2048,bit_flip,0.03,7,0.020639814424258298,0.003263066440313732,0.017262039598895815,0.022847416791969735,0.015278236314894328,0.02359762291740906,1.0350234952736452,0.003448527397893092,1.032690420729207,1.0385932506685296
lorenz,2048,bit_flip,0.05,7,-0.01860973265372309,0.004017859080416557,-0.021894402870749178,-0.01609142558255252,-0.025605020269648848,-0.015397023553796185,1.076503845407215,0.004246219736291335,1.073842406821734,1.0799752044627693
lorenz,2048,bit_flip,0.08,7,-0.027869213015661382,0.0041256780829689345,-0.03150246185274334,-0.02478026592754878,-0.03489486229547387,-0.024425472534418225,1.0862896013219268,0.004360166783069812,1.0830250895938192,1.0901293509522887
lorenz,2048,bit_flip,0.1,7,-0.0284850738293099,0.004128097823993631,-0.032125516223719286,-0.025523061280018747,-0.035518062193282185,-0.025152031039552304,1.0869404654486627,0.004362724053469297,1.0838101027619158,1.0907878174922716
lorenz,2048,phase_flip,0.0,7,0.7306885019621802,0.00175800705285207,0.7298621698235133,0.7316402628729504,0.7285112923370473,0.7336352187186563,0.2846181947376379,0.0018579258493023215,0.28361233916066136,0.28549149262233525
lorenz,2048,phase_flip,0.0005,7,0.7112466214604031,0.0016264770310784982,0.7100747954331282,0.7120042012735638,0.7090283547716332,0.7137979069630047,0.3051650817849322,0.0017189201342706299,0.30436444386058636,0.30640351018795076
lorenz,2048,phase_flip,0.001,7,0.6916267258163872,0.0015521975861509426,0.6902968474993834,0.6929564202782773,0.6891169050784315,0.6929939199431303,0.3259001017147404,0.001640418912913828,0.32449483220321473,0.3273055655310426
lorenz,2048,phase_flip,0.002,7,0.6537214179065011,0.0016804108218444896,0.6518527005738373,0.6547744884511395,0.6515925306921402,0.6557659247930316,0.3659598109618035,0.0017759193276768337,0.3648468876758311,0.36793473946494143
lorenz,2048,phase_flip,0.003,7,0.616388698325385,0.0017912170447066617,0.6145241995919346,0.6180628396097261,0.6138828285057112,0.6186236377746918,0.40541438801937685,0.001893023377620894,0.4036450945671606,0.4073848581532988
lorenz,2048,phase_flip,0.005,7,0.544868982566488,0.002484107449557577,0.5427188447521816,0.5466363139613664,0.5420952527448174,0.5485470766005865,0.4809990271296896,0.0026252951804089063,0.4791312469763046,0.48327137104223594
lorenz,2048,phase_flip,0.008,7,0.4490575751999039,0.002028174855098909,0.4475813923128209,0.45139712759592826,0.4470277425321826,0.4521814914558683,0.5822560102092611,0.002143449017499675,0.5797834860715911,0.583816094021075
lorenz,2048,phase_flip,0.01,7,0.39278265994719475,0.0026429140221158292,0.39073124962327915,0.3961219691231998,0.3903456104777395,0.3967090319144136,0.6417293891958142,0.002793127747244434,0.6382002856994166,0.6438973943025886
lorenz,2048,phase_flip,0.015,7,0.2776356926137762,0.0035687676279148113,0.2756597561464399,0.28201466327517305,0.27272498320969263,0.28235238195663104,0.7634208959110197,0.003771603541236832,0.7587930403105847,0.7655091374987241
