x_coords,y_coords,z_coords
-0.7435618014794207,-1.9984975769685678,19.774098625745665
-1.0913621613391502,-2.185387694656999,18.30935556185169
-1.415733948211263,-2.5060930187262027,16.986387819673478
-1.7590375172849664,-2.9772983809308466,15.805614925537327
-2.1584172749243353,-3.625403744092841,14.776550005266294
-2.6516919562797443,-4.486854001427866,13.920884185975144
-3.27358374973941,-5.614400065132533,13.2809079510256
-4.069436330125122,-7.06006237317189,12.929704423512767
-5.085809425663637,-8.882134521477013,12.98623696004134
-6.364441501214947,-11.111104107666117,13.636434863353431
-7.934012702840047,-13.662541168748374,15.142320624788532
-9.774296193941229,-16.288345776811042,17.806047991170487
-11.773898335290154,-18.41197473161575,21.884850594592706
-13.644279019331368,-19.181281622775874,27.175918581778113
-14.941797169254237,-17.738164059258764,32.81087720727821
-15.198416092585608,-14.041703816258465,37.24734658848104
-14.225685218711265,-9.034618114779928,39.31603200668718
-12.223254392425526,-4.344893165286237,38.86043783969828
-9.689906000807312,-1.0014427516406021,36.693826455609454
-7.156329890020105,0.8553961466507833,33.869242935171876
-4.957117702643398,1.629346994049426,31.0394689367664
-3.2179330136334907,1.7969578481416337,28.449735003123315
-1.9280630001188517,1.696250861522658,26.13396988453179
-1.0109585991845282,1.5253141526749339,24.057137802601687
-0.37544010660552996,1.3858800691003124,22.179022670730344
0.07053946504471037,1.3191924242027113,20.468239682824304
0.394788735191837,1.3410236774161068,18.903795067202413
0.6537764076155708,1.4556697408395542,17.47156431495062
0.88829169685571,1.6690518139639672,16.162986861430955
1.13234461784991,1.9912330026189018,14.973427411036951
1.4128364240898272,2.4427615972608194,13.903365311143093
1.7595009647892104,3.051917192532202,12.95970635154155
2.199797630260756,3.86342012790565,12.159833945712851
2.7697489978403897,4.932611762446759,11.539405206545117
3.5136186127666678,6.325326046472324,11.161703114292239
4.478399348792858,8.127337574549259,11.132291514778606
5.719238131139193,10.388861590292933,11.63530145477926
7.284665818143418,13.09229235054849,12.935465908289068
9.197242411718815,16.083644334230392,15.429102167379817
11.374824029405952,18.848114360716465,19.45228028049626
13.56698575290117,20.429668850144985,25.099355490667236
15.296805170923077,19.640259959260447,31.612860852500795
15.982614420752205,15.946600199386163,37.33783862264841
15.2334948258487,10.311586125210548,40.45702545687173
13.175757779139403,4.7866024319097615,40.51834701324309
10.391189106385728,0.6074800454188312,38.28836724173541
7.5014635401300485,-1.7313333326095848,35.16252375630979
4.951663128691413,-2.718877830082312,32.05229017019422
2.92112719690584,-2.9522466832099545,29.267854198132177
1.4057403061817473,-2.875372339277821,26.83875843538193
0.31477190508740227,-2.740050552566281,24.70740531805201
-0.4666456482399106,-2.6749349107005753,22.815240411331533
-1.0436292843199553,-2.735937613475162,21.121386011825155
-1.5078309012515758,-2.946983538848708,19.60242685151212
-1.9281170357997843,-3.3235927921829864,18.25078170761657
-2.361788623867444,-3.8825136235010933,17.070189649608604
-2.8559827157552338,-4.649236229402569,16.077847348743184
-3.451443099919297,-5.660064693189215,15.309876648999248
-4.194270758302444,-6.951155077021118,14.826433767443978
-5.1219532295710835,-8.567616213834679,14.72712759546031
-6.271211510462734,-10.515127443293085,15.162108026113458
-7.660209615486266,-12.726118532040076,16.31550829364351
-9.284817754415585,-15.013456086817778,18.47140281719658
-11.057185310975518,-16.967220449800056,21.788707672442904
-12.752730782377192,-17.91390442967972,26.151957762365793
-14.032902281647315,-17.139443992978258,31.001282230158125
-14.506293936856526,-14.46436663961286,35.160984633819936
-13.960763216494298,-10.421425382115038,37.60447072771127
-12.465736753011473,-6.2294351814914375,37.90911192046794
-10.36786624253611,-2.8944681462611257,36.49490328896119
-8.117438316254724,-0.7849095822788272,34.159755822445305
-6.056083572724423,0.2553629991864832,31.568129866024663
-4.361358635271868,0.609432194882958,29.071140874358203
-3.0700174160669476,0.5868571598846165,26.770192693540626
-2.1452877934886203,0.39903392435469787,24.674431398664254
-1.5181312622974268,0.16017054290186722,22.76222925914134
-1.1158608328685011,-0.07834476923193366,21.010359569389124
-0.8778236110880827,-0.3023758577728781,19.40025667238841
-0.7579628484602705,-0.5167220426249406,17.918110343212696
-0.7249803095600247,-0.73545003891396,16.55364652206846
-0.759863212029826,-0.9772393971164675,15.29904496798017
-0.8539289318613226,-1.2637578956819893,14.148619733161116
-1.0070686811709455,-1.6202909556205167,13.099264959681012
-1.225651096415075,-2.0782697948657174,12.151409514224289
-1.5245424869461799,-2.675763410718521,11.310855480946007
-1.9261344784492718,-3.4607923730472336,10.594815348686913
-2.4632741597186003,-4.492572639209808,10.034714681956538
-3.170840228603692,-5.8665065710005635,9.677213817319082
-4.099669131413076,-7.667282889989178,9.634317921412988
-5.318927513465047,-9.961872518681513,10.089413328327682
-6.890490882896085,-12.77298989716254,11.310378800107308
-8.854293677603456,-16.013021472591998,13.724978747196147
-11.15266057781023,-19.19034637950828,17.763593232052777
-13.561598908441095,-21.313151040630952,23.69011771515973
-15.587573761069228,-20.951806959096466,30.881870220149068
-16.55276671697947,-17.232937225496954,37.529177171819455
-15.93219084362695,-11.135918092300344,41.401751036411184
-13.804657523433235,-4.847392460662869,41.68905833033966
-10.786630423808612,-0.07562225291737512,39.312864976753325
-7.6105309428230115,2.559960230150475,35.919584579056824
-4.801952255557459,3.636970985559424,32.59634163841791
-2.57140051092977,3.877139959267941,29.6954467768317
-0.9076105138335642,3.792680465866372,27.224087670013546
0.2935998981134547,3.671677072166985,25.1016815093318
1.1647122839061608,3.652257803396044,23.250974789425694
1.8235396936955446,3.7959927068664046,21.62592460984054
2.376748497722966,4.12755320538121,20.203322447371765
2.8980909155059535,4.664820075052848,18.984745222469215
3.454611532086689,5.4220106908630035,17.98637689067645
4.095560810764164,6.42202675722987,17.247050752212775
4.863202921701386,7.686265467602921,16.831798421408845
5.798434042358963,9.21746240395971,16.83426424967311
6.9233030108956015,10.997982982812509,17.396639243203907
8.237227847456051,12.914355061283649,18.678779656967112
9.70126876846506,14.73708973529614,20.82614156920042
11.199607441699436,16.045527476606196,23.895867452198374
12.527811076073338,16.346504578423815,27.657127332886326
13.404381789953906,15.21975996316809,31.507320171258343
13.564457634983347,12.760028921939426,34.5622096981113
12.912720121450542,9.489492377494013,36.168044023742766
11.566605468292934,6.202286881725919,36.16465144373758
9.804976357883117,3.5981767695065026,34.859925461050096
7.949708197890751,1.9331049753308298,32.85260884644487
6.260292691550126,1.0839812845653758,30.624012891041012
4.870536433577168,0.8124688025501887,28.411234133129753
3.8209100821703212,0.8670506104350125,26.328478833365942
3.0847657861085738,1.1069510324936749,24.3998087281739
2.6168710175661887,1.448814606170149,22.627232351672262
2.367600869880259,1.8592369836316962,21.00504294721102
2.3002242290059294,2.3344622212875237,19.53000303529642
2.383036696870585,2.896031923107902,18.203987885420414
2.6053485894532624,3.574223504207698,17.03582866495369
2.966996930847145,4.410294046117977,16.045531740661122
3.477755443584414,5.453950491196687,15.26930791858572
4.161546838641924,6.758007380939628,14.765503999089013
5.046668582947549,8.366789203450974,14.63251055870372
6.160643215265302,10.294789624310715,15.010308516316146
7.531652889002001,12.515518839879324,16.11534233465765
9.142411109803692,14.839967636514114,18.175205519141144
10.90529151194186,16.85709398356383,21.380284481447433
12.620478914983176,17.92354498968524,25.68560823299311
13.95606396723332,17.319973981825267,30.542158584825902
14.524357625363388,14.731392040120845,34.86587581282484
14.06794411762344,10.829938231161123,37.515784977596525
12.648108784910598,6.692381779036602,38.0336165994648
10.605035004150052,3.210123110768353,36.754381237690914
8.356642521980563,0.9653378288406174,34.44932976786993
6.264587728918617,-0.1860321428559084,31.868508724211647
4.523932641364034,-0.5991455569910629,29.351417689973125
3.1890250538006955,-0.6076847427655818,27.025811139818742
2.2264365500060608,-0.43197597783804537,24.90661322451189
1.5687203700488714,-0.19635796434233654,22.974172040660903
1.1441711327438508,0.042054605571882,21.20458997933033
0.8890981068685241,0.26619839211196106,19.578544304386607
0.7569405628638337,0.4786421815005368,18.081886735365906
0.7135657216014211,0.6932781308298823,16.70385687051811
0.7398019846969448,0.9273037329999304,15.43635775006867
0.8245212600096914,1.202759860590501,14.273345412267188
0.9674468995892774,1.543255510246659,13.211161194590336
1.1736137660588106,1.97935432953705,12.249636229360663
1.456420684896131,2.5476086432090606,11.393120775545121
1.8366636612410385,3.2955609738823206,10.65528872423358
2.344979687930922,4.2786594513913245,10.066995544903076
3.0193490758828565,5.580723997437726,9.672423773011907
3.906099642552392,7.297695245991048,9.563321281842638
5.068119056061244,9.502102408012998,9.91118705329179
6.573519773510915,12.228405007103058,10.967887144681589
8.467267941777234,15.416987262734168,13.13462416878377
10.721269971413397,18.676712059067107,16.861154721379958
13.143952976998495,21.098298792192352,22.468807134899365
15.29302726077738,21.29176658926307,29.552579250498667
16.50459459995542,18.187407116269515,36.50269361202993
16.186191160720984,12.29446218850614,40.998468569925485
14.28268644779838,5.904955945827542,41.921202352115024
11.362583958015279,0.740358667814057,39.890929283913664
8.157636307696345,-2.256693253022646,36.56142213689423
5.2524840222773115,-3.5592792315930737,33.17882839906739
